"stationID","datetimeUTC","voltage_V","h2Temp_C","stage_ft","LSU","telem_source","basinPair"
"CW","2021-10-24 12:05:00",12.7,1.6,0.05,100,"GOES","Coxit"
"CE","2021-10-24 12:05:00",12.6,1.1,0.05,100,"GOES","Coxit"
"TW","2021-10-25 00:05:00",12.6,5.5,0.05,100,"GOES","Tripps Knob"
"FE","2021-10-25 00:05:00",12.7,4.7,0.04,100,"GOES","Fish Creek"
"CW","2021-10-25 00:05:00",12.7,0.1,0.11,100,"GOES","Coxit"
"CE","2021-10-25 00:05:00",12.6,-0.5,0.16,100,"GOES","Coxit"
"TW","2021-10-25 12:05:00",12.6,3.7,0.13,3,"GOES","Tripps Knob"
"FE","2021-10-25 12:05:00",12.7,3.1,0.08,100,"GOES","Fish Creek"
"CW","2021-10-25 12:05:00",12.7,0.2,0.1,100,"GOES","Coxit"
"CE","2021-10-25 12:05:00",12.6,-0.3,0.1,1,"GOES","Coxit"
"TW","2021-10-26 00:05:00",12.6,4.8,0.06,3,"GOES","Tripps Knob"
"FE","2021-10-26 00:05:00",12.7,4.2,0.05,100,"GOES","Fish Creek"
"CW","2021-10-26 00:05:00",12.7,1.1,0.07,100,"GOES","Coxit"
"CE","2021-10-26 00:05:00",12.6,0.5,0.08,1,"GOES","Coxit"
"TW","2021-10-26 12:05:00",12.6,3.9,0.06,3,"GOES","Tripps Knob"
"FE","2021-10-26 12:05:00",12.7,3,0.05,100,"GOES","Fish Creek"
"CW","2021-10-26 12:05:00",12.7,-0.1,0.07,100,"GOES","Coxit"
"CE","2021-10-26 12:05:00",12.6,-0.7,0.06,1,"GOES","Coxit"
"TW","2021-10-27 00:05:00",12.6,4.4,0.05,3,"GOES","Tripps Knob"
"FE","2021-10-27 00:05:00",12.7,3.5,0.04,100,"GOES","Fish Creek"
"CW","2021-10-27 00:05:00",12.7,0.9,0.06,100,"GOES","Coxit"
"CE","2021-10-27 00:05:00",12.6,0.5,0.06,1,"GOES","Coxit"
"FE","2021-10-27 12:05:00",12.7,2.8,0.05,100,"GOES","Fish Creek"
"CW","2021-10-27 12:05:00",12.7,-0.5,0.05,100,"GOES","Coxit"
"CE","2021-10-27 12:05:00",12.6,-1,0.06,1,"GOES","Coxit"
"TW","2021-10-28 00:05:00",12.6,4.6,0.05,3,"GOES","Tripps Knob"
"FE","2021-10-28 00:05:00",12.7,4.2,0.04,100,"GOES","Fish Creek"
"CW","2021-10-28 00:05:00",12.7,1.6,0.05,100,"GOES","Coxit"
"CE","2021-10-28 00:05:00",12.7,1.6,0.05,1,"GOES","Coxit"
"TW","2021-10-28 12:05:00",12.6,3.4,0.04,3,"GOES","Tripps Knob"
"FE","2021-10-28 12:05:00",12.7,3.1,0.05,100,"GOES","Fish Creek"
"CW","2021-10-28 12:05:00",12.7,-0.1,0.05,100,"GOES","Coxit"
"CE","2021-10-28 12:05:00",12.6,-0.5,0.05,1,"GOES","Coxit"
"TW","2021-10-29 00:05:00",12.6,8.1,0.06,3,"GOES","Tripps Knob"
"FE","2021-10-29 00:05:00",12.7,8.3,0.05,100,"GOES","Fish Creek"
"CW","2021-10-29 00:05:00",12.7,0.2,0.05,100,"GOES","Coxit"
"CE","2021-10-29 00:05:00",12.7,0.2,0.05,1,"GOES","Coxit"
"TW","2021-10-29 12:05:00",12.6,9.7,0.1,3,"GOES","Tripps Knob"
"FE","2021-10-29 12:05:00",12.7,9.3,0.08,100,"GOES","Fish Creek"
"CW","2021-10-29 12:05:00",12.7,0.6,0.06,100,"GOES","Coxit"
"CE","2021-10-29 12:05:00",12.6,0,0.06,1,"GOES","Coxit"
"TW","2021-10-30 00:05:00",12.6,3.9,0.13,5,"GOES","Tripps Knob"
"FE","2021-10-30 00:05:00",12.7,3.8,0.1,100,"GOES","Fish Creek"
"CW","2021-10-30 00:05:00",12.6,0.2,0.06,100,"GOES","Coxit"
"CE","2021-10-30 00:05:00",12.7,0.5,0.06,1,"GOES","Coxit"
"TW","2021-10-30 12:05:00",12.6,-0.6,0.08,5,"GOES","Tripps Knob"
"FE","2021-10-30 12:05:00",12.6,-1,0.06,100,"GOES","Fish Creek"
"CW","2021-10-30 12:05:00",12.6,-4.8,0.06,100,"GOES","Coxit"
"CE","2021-10-30 12:05:00",12.6,-5.2,0.05,1,"GOES","Coxit"
"TW","2021-10-31 00:05:00",12.6,1.1,0.06,5,"GOES","Tripps Knob"
"FE","2021-10-31 00:05:00",12.6,0.4,0.07,100,"GOES","Fish Creek"
"CW","2021-10-31 00:05:00",12.6,-2,0.05,100,"GOES","Coxit"
"CE","2021-10-31 00:05:00",12.6,-1.5,0.05,1,"GOES","Coxit"
"TW","2021-10-31 12:05:00",12.6,-2.7,0.06,5,"GOES","Tripps Knob"
"FE","2021-10-31 12:05:00",12.6,-1.3,0.06,100,"GOES","Fish Creek"
"CW","2021-10-31 12:05:00",12.6,-4.8,0.05,100,"GOES","Coxit"
"CE","2021-10-31 12:05:00",12.6,-5.5,0.05,1,"GOES","Coxit"
"FE","2021-11-01 00:05:00",12.6,0.9,0.06,100,"GOES","Fish Creek"
"CW","2021-11-01 00:05:00",12.6,-1.7,0.05,100,"GOES","Coxit"
"CE","2021-11-01 00:05:00",12.6,-1.5,0.04,1,"GOES","Coxit"
"FE","2021-11-01 12:05:00",12.6,-2.7,0.06,100,"GOES","Fish Creek"
"CW","2021-11-01 12:05:00",12.6,-4.3,0.04,100,"GOES","Coxit"
"CE","2021-11-01 12:05:00",12.6,-5.2,0.04,1,"GOES","Coxit"
"FE","2021-11-02 00:05:00",12.6,0.1,0.06,100,"GOES","Fish Creek"
"CW","2021-11-02 00:05:00",12.6,1.1,0.04,100,"GOES","Coxit"
"CE","2021-11-02 00:05:00",12.7,0.9,0.04,1,"GOES","Coxit"
"TW","2021-11-02 12:05:00",12.6,-0.6,0.04,5,"GOES","Tripps Knob"
"FE","2021-11-02 12:05:00",12.6,0.1,0.06,100,"GOES","Fish Creek"
"CW","2021-11-02 12:05:00",12.6,-0.5,0.04,100,"GOES","Coxit"
"CE","2021-11-02 12:05:00",12.6,-1,0.04,1,"GOES","Coxit"
"FE","2021-11-03 00:05:00",12.6,3,0.05,100,"GOES","Fish Creek"
"CW","2021-11-03 00:05:00",12.7,0.1,0.04,100,"GOES","Coxit"
"CE","2021-11-03 00:05:00",12.6,-0.3,0.05,1,"GOES","Coxit"
"TW","2021-11-03 12:05:00",12.5,0.8,0.04,5,"GOES","Tripps Knob"
"FE","2021-11-03 12:05:00",12.7,2.8,0.05,100,"GOES","Fish Creek"
"CW","2021-11-03 12:05:00",12.7,-0.3,0.05,100,"GOES","Coxit"
"CE","2021-11-03 12:05:00",12.6,-0.9,0.04,1,"GOES","Coxit"
"TW","2021-11-04 00:05:00",12.6,4.8,0.04,5,"GOES","Tripps Knob"
"FE","2021-11-04 00:05:00",12.7,5.7,0.05,100,"GOES","Fish Creek"
"CW","2021-11-04 00:05:00",12.7,2,0.05,100,"GOES","Coxit"
"CE","2021-11-04 00:05:00",12.7,1.9,0.05,1,"GOES","Coxit"
"TW","2021-11-04 12:05:00",12.5,2.5,0.04,5,"GOES","Tripps Knob"
"FE","2021-11-04 12:05:00",12.7,3.8,0.05,100,"GOES","Fish Creek"
"CW","2021-11-04 12:05:00",12.7,2.3,0.06,100,"GOES","Coxit"
"CE","2021-11-04 12:05:00",12.6,2.1,0.06,1,"GOES","Coxit"
"TW","2021-11-05 00:05:00",12.5,6.3,0.14,5,"GOES","Tripps Knob"
"FE","2021-11-05 00:05:00",12.7,6.2,0.08,100,"GOES","Fish Creek"
"CW","2021-11-05 00:05:00",12.7,2.3,0.09,100,"GOES","Coxit"
"CE","2021-11-05 00:05:00",12.6,2.1,0.09,1,"GOES","Coxit"
"TW","2021-11-05 12:05:00",12.5,3,0.13,7,"GOES","Tripps Knob"
"FE","2021-11-05 12:05:00",12.7,2.5,0.08,100,"GOES","Fish Creek"
"CW","2021-11-05 12:05:00",12.7,-0.3,0.07,100,"GOES","Coxit"
"CE","2021-11-05 12:05:00",12.6,-0.9,0.06,1,"GOES","Coxit"
"TW","2021-11-06 00:05:00",12.5,4.1,0.12,7,"GOES","Tripps Knob"
"FE","2021-11-06 00:05:00",12.7,3.3,0.07,100,"GOES","Fish Creek"
"CW","2021-11-06 00:05:00",12.6,-0.3,0.06,100,"GOES","Coxit"
"CE","2021-11-06 00:05:00",12.6,-0.7,0.05,1,"GOES","Coxit"
"TW","2021-11-06 12:05:00",12.5,1.8,0.09,7,"GOES","Tripps Knob"
"FE","2021-11-06 12:05:00",12.6,1.3,0.06,100,"GOES","Fish Creek"
"CW","2021-11-06 12:05:00",12.6,-2.6,0.06,100,"GOES","Coxit"
"CE","2021-11-06 12:05:00",12.6,-3.3,0.05,1,"GOES","Coxit"
"CW","2021-11-07 00:05:00",12.6,-1.5,0.06,100,"GOES","Coxit"
"CE","2021-11-07 00:05:00",12.6,-1.9,0.05,1,"GOES","Coxit"
"TW","2021-11-07 12:05:00",12.5,-0.3,0.07,7,"GOES","Tripps Knob"
"FE","2021-11-07 12:05:00",12.6,-0.8,0.06,100,"GOES","Fish Creek"
"CW","2021-11-07 12:05:00",12.6,-5.4,0.05,100,"GOES","Coxit"
"CE","2021-11-07 12:05:00",12.6,-6.4,0.05,1,"GOES","Coxit"
"FE","2021-11-08 00:05:00",12.6,-0.3,0.05,100,"GOES","Fish Creek"
"CW","2021-11-08 00:05:00",12.6,-2.6,0.05,100,"GOES","Coxit"
"CE","2021-11-08 00:05:00",12.6,-3.1,0.04,1,"GOES","Coxit"
"FE","2021-11-08 12:05:00",12.6,-0.1,0.05,100,"GOES","Fish Creek"
